feature,coef,abs_z,p_value,significant
lt_cos,1.8355445782283561,182.73524756717168,0.0,True
mlat_abs,-0.1648550595951595,83.24109844079888,0.0,True
lt_sin,-0.6060005243383912,77.6640104228837,0.0,True
r,-0.13311715179596206,74.0600148896474,0.0,True
const,-0.12086079957116715,72.72875482730248,0.0,True
r_dist_from_peak,0.1303559059888523,71.40893064255957,0.0,True
mlat_dist_from_peak,0.13188505786691843,69.47155700509474,0.0,True
mlat_north,-0.22055320298933223,40.552150500693024,0.0,True
lt_cos_x_mlat,-0.025946732601443173,22.661414206457593,1.0766729608850744e-113,True
is_nightside,-0.25968418281625877,18.772641593128554,1.2643920320958478e-78,True
lt_sin_x_mlat,0.018052228486341686,12.694454988994366,6.347024284124266e-37,True
is_auroral,0.0,,,False
is_inner_mag,0.0,,,False
night_x_auroral,0.0,,,False
night_x_auroral_x_inner,0.0,,,False
