,coef,std_err,z,p_value,odds_ratio,OR_ci_low,OR_ci_high
const,-0.13142928201219672,0.001564171898389162,-84.02483265908761,0.0,0.8768412813963352,0.8741571981351512,0.8795336060847685
lt_sin,-0.5804093562866897,0.007764688539163777,-74.74985678552372,0.0,0.5596692155545446,0.5512162129371698,0.5682518465311227
lt_cos,1.6874969774316435,0.0062049253012198885,271.9608851858187,0.0,5.405932585315703,5.3405856745563876,5.472079074811511
mlat_abs,-0.18668692033939902,0.0016086687751803198,-116.05056505088986,0.0,0.8297034590036921,0.8270915314868168,0.8323236349006968
mlat_north,-0.23137367670893622,0.005399472577470014,-42.85116247730793,0.0,0.7934429194935405,0.7850902160012093,0.8018844887674198
mlat_dist_from_peak,0.15226161394357562,0.0015576485502073112,97.75094254946713,0.0,1.1644648368246369,1.1609151573007777,1.1680253700483922
r,-0.14454935727419102,0.0016918033914422278,-85.44099036884283,0.0,0.8654121969618629,0.8625472992057526,0.8682866102995078
r_dist_from_peak,0.14196268746722498,0.0017182889953212014,82.61863275257011,0.0,1.1525336437853437,1.148658616377994,1.1564217436906437
lt_sin_x_mlat,0.019108344247365405,0.0014358456171431327,13.30807714925844,2.077600671795519e-40,1.0192920770680918,1.0164275594232512,1.0221646675571419
lt_cos_x_mlat,-0.02560646366128359,0.0011532889353480886,-22.20299083469051,3.2134253489673426e-109,0.9747186013305468,0.972517790606034,0.9769243924964374
