feature,coef,abs_z,p_value,significant
lt_cos,1.835544578228362,182.73524756627063,0.0,True
mlat_abs,-0.1648550595951591,83.24109844037181,0.0,True
lt_sin,-0.6060005243383964,77.66401042247452,0.0,True
r,-0.13311715179595637,74.06001488934766,0.0,True
const,-0.12086079957116572,72.72875482701349,0.0,True
r_dist_from_peak,0.13035590598884667,71.40893064227089,0.0,True
mlat_dist_from_peak,0.13188505786691698,69.4715570047362,0.0,True
mlat_north,-0.2205532029893284,40.552150500517925,0.0,True
lt_cos_x_mlat,-0.02594673260144365,22.66141420630828,1.0766729645351767e-113,True
is_nightside,-0.25968418281625905,18.77264159305725,1.264392033793038e-78,True
lt_sin_x_mlat,0.01805222848634208,12.69445498890789,6.347024291134674e-37,True
