,coef,std_err,z,p_value,odds_ratio,OR_ci_low,OR_ci_high
const,-0.12086079957116572,0.0016618021284516018,-72.72875482701349,0.0,0.8861573044846444,0.8832756685011816,0.8890483416394938
lt_sin,-0.6060005243383964,0.007802848720300325,-77.66401042247452,0.0,0.5455283391177639,0.5372487297433604,0.5539355466186915
lt_cos,1.835544578228362,0.010044830445547649,182.73524756627063,0.0,6.268546930268902,6.146339556500032,6.393184147372361
mlat_abs,-0.1648550595951591,0.001980452717274627,-83.24109844037181,0.0,0.8480166070512358,0.8447312522208025,0.851314739384968
mlat_north,-0.2205532029893284,0.005438754795174464,-40.552150500517925,0.0,0.8020749649406496,0.7935702886670822,0.8106707856529026
mlat_dist_from_peak,0.13188505786691698,0.0018984036568796892,69.4715570047362,0.0,1.1409771653806378,1.1367396249033264,1.1452305025706735
r,-0.13311715179595637,0.001797422698264987,-74.06001488934766,0.0,0.8753625358083782,0.8722841044473404,0.8784518314504413
r_dist_from_peak,0.13035590598884667,0.0018254846391955602,71.40893064227089,0.0,1.139233771302241,1.135164933342159,1.1433171934358286
is_nightside,-0.25968418281625905,0.013833118878288227,-18.77264159305725,1.264392033793038e-78,0.7712951356004949,0.7506640262560803,0.7924932664856966
lt_sin_x_mlat,0.01805222848634208,0.0014220562050214591,12.69445498890789,6.347024291134674e-37,1.0182161548896043,1.0153821035228756,1.0210581164283967
lt_cos_x_mlat,-0.02594673260144365,0.0011449741117313336,-22.66141420630828,1.0766729645351767e-113,0.9743869912866163,0.9722027732145125,0.9765761165742908
