,coef,std_err,z,p_value,odds_ratio,OR_ci_low,OR_ci_high
const,-0.12086079957116715,0.001661802128445018,-72.72875482730248,0.0,0.8861573044846431,0.8832756685011918,0.8890483416394811
lt_sin,-0.6060005243383912,0.007802848720259148,-77.6640104228837,0.0,0.5455283391177667,0.5372487297434065,0.5539355466186496
lt_cos,1.8355445782283561,0.010044830445498086,182.73524756717168,0.0,6.268546930268865,6.146339556500594,6.393184147371702
mlat_abs,-0.1648550595951595,0.0019804527172644715,-83.24109844079888,0.0,0.8480166070512355,0.844731252220819,0.8513147393849507
mlat_north,-0.22055320298933223,0.005438754795151075,-40.552150500693024,0.0,0.8020749649406466,0.7935702886671155,0.8106707856528623
mlat_dist_from_peak,0.13188505786691843,0.0018984036568699123,69.47155700509474,0.0,1.1409771653806395,1.13673962490335,1.1452305025706533
r,-0.13311715179596206,0.001797422698257789,-74.0600148896474,0.0,0.8753625358083732,0.8722841044473477,0.8784518314504238
r_dist_from_peak,0.1303559059888523,0.0018254846391882594,71.40893064255957,0.0,1.1392337713022473,1.1351649333421816,1.1433171934358186
is_nightside,-0.25968418281625877,0.01383311887823567,-18.772641593128554,1.2643920320958478e-78,0.7712951356004951,0.7506640262561579,0.7924932664856152
is_auroral,0.0,0.0,,,1.0,1.0,1.0
is_inner_mag,0.0,0.0,,,1.0,1.0,1.0
lt_sin_x_mlat,0.018052228486341686,0.0014220562050117405,12.694454988994366,6.347024284124266e-37,1.0182161548896038,1.0153821035228945,1.021058116428377
lt_cos_x_mlat,-0.025946732601443173,0.0011449741117237687,-22.661414206457593,1.0766729608850744e-113,0.9743869912866168,0.9722027732145274,0.9765761165742767
night_x_auroral,0.0,0.0,,,1.0,1.0,1.0
night_x_auroral_x_inner,0.0,0.0,,,1.0,1.0,1.0
